"NOME_PRINCIPAL","FORMACAO_PRINCIPAL","CAMPUS_PRINCIPAL","LOTACAO","ORIENTADORES_ACADEMICOS","ORIENTANDOS_ACADEMICOS"
"Dennys Leite Maia","Ciências Humanas / Educação","Universidade Federal Do Rio Grande Do Norte","IMD","José Aires De Castro Filho (Orientador de Doutorado, 2016); Lia Matos Brito De Albuquerque (Orientador de Mestrado, 2011 Co); Marcilia Chagas Barreto (Orientador de Mestrado, 2012)","Carmélia Regina Silva Xavier (Orientando de Mestrado 2020); Eli Sales Muniz Lima (Orientando de Mestrado 2021); Elvis Medeiros De Melo (Orientando de Mestrado 2019); Fellipe Silva Câmara (Orientando de Mestrado 2023 Co); Giluiza Catarina Cardoso Alves Borges (Orientando de Mestrado 2024); Maria Luiza Dos Santos (Orientando de Mestrado 2024 Co); Maria Luziene Da Silva Azevedo Bandeira (Orientando de Mestrado 2019); Raiza De Araujo Domingos (Orientando de Mestrado 2023); Roberia Silva Da Penha Lourenco (Orientando de Mestrado 2024); Rodrigo Rodrigues Melo De Lima (Orientando de Mestrado 2019); Stella Layse Da Silva Lima Brito (Orientando de Mestrado 2024); Stênio Lúcio Da Rocha (Orientando de Mestrado 2020); Veridiana Kelin Appelt (Orientando de Mestrado 2022)"
"Eduardo Nogueira Cunha","Ciências Biológicas / Biotecnologia","Universidade Federal Do Rio Grande Do Norte","IMD","Carlos Eduardo Trabuco Dórea (Orientador de Mestrado, 2015); Daniel Carlos Ferreira Lanza (Orientador de Doutorado, 2020 Co); João Paulo Matos Santos Lima (Orientador de Doutorado, 2020)",""
"Gustavo Bezerra Paz Leitão","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Luiz Affonso Henderson Guedes De Oliveira (Orientador de Mestrado, 2008); Luiz Affonso Henderson Guedes De Oliveira (Orientador de Doutorado, 2018)",""
"Isaac Franco Fernandes","Engenharias / Engenharia De Produção","Universidade Federal Do Rio Grande Do Norte","IMD","Daniel Aloise (Orientador de Mestrado, 2010)",""
"Patrick Cesar Alves Terrematte","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Adrião Duarte Dória Neto (Orientador de Doutorado, 2022); Beatriz Stransky Ferreira (Orientador de Doutorado, 2022 Co); Daniel Sabino Amorim De Araújo (Orientador de Doutorado, 2022 Co); Joao Marcos De Almeida (Orientador de Mestrado, 2013)","Epitacio Dantas Farias Filho (Orientando de Mestrado 2023 Co)"
"Itamir De Morais Barroca Filho","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Gibeon Soares De Aquino Junior (Orientador de Mestrado, 2015); Gibeon Soares De Aquino Junior (Orientador de Doutorado, 2019)","Bruna Alice Oliveira De Brito (Orientando de Mestrado 2023); Cezar Miranda Paula De Souza (Orientando de Mestrado 2021); Diogo Eugenio Da Silva Cortez (Orientando de Mestrado 2020); Gildasio Da Costa Teixeira (Orientando de Mestrado 2021 Co); Iuri Janmichel De Sousa Lima (Orientando de Mestrado 2021); Ramon Santos Malaquias (Orientando de Mestrado 2020); Walter Lopes Neto (Orientando de Mestrado 2022)"
"Jean Mário Moreira De Lima","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Fábio Meneghetti Ugulino De Araújo (Orientador de Mestrado, 2018); Fábio Meneghetti Ugulino De Araújo (Orientador de Doutorado, 2021)",""
"Kayo Gonçalves E Silva","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Daniel Aloise (Orientador de Mestrado, 2013 Co); Samuel Xavier De Souza (Orientador de Mestrado, 2013); Samuel Xavier De Souza (Orientador de Doutorado, 2018)",""
"Lorena Azevedo De Sousa","Ciências Humanas / Educação","Universidade Federal Do Rio Grande Do Norte","IMD","Carlos Santos (Orientador de Doutorado, 2024 Co); Janaina Weissheimer (Orientador de Mestrado, 2014); Luis Pedro (Orientador de Doutorado, 2024)",""
"Nelson Ion De Oliveira","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Jorge Tarcisio Da Rocha Falcao (Orientador de Mestrado, 2017 Co); Marcel Vinicius Medeiros Oliveira (Orientador de Mestrado, 2017)",""
"Rafaela Horacina Silva Rocha","Mestrado em Matemática Aplicada e Estatística","Universidade Federal Do Rio Grande Do Norte","IMD","Débora Borges Ferreira (Orientador de Mestrado, 2013); Ronaldo Dias (Orientador de Mestrado, 2013 Co); Bruno Motta De Carvalho (Orientador de Doutorado, 2019)",""
"Ramon Dos Reis Fontes","Ciências Exatas e da Terra / Ciência Da Computação","UNICAMP","IMD","Christian Rodolfo Esteve Rothenberg (Orientador de Doutorado, 2018); Paulo Nazareno Maia Sampaio (Orientador de Mestrado, 2013)","Emídio De Paiva Neto (Orientando de Mestrado 2021 Co); Thiago De Abreu Lima (Orientando de Mestrado 2024)"
"Renan Cipriano Moioli","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Andrew Phillippides (Orientador de Doutorado, 2013 Co); Fernando José Von Zuben (Orientador de Mestrado, 2008); Patricia Amancio Vargas (Orientador de Mestrado, 2008 Co); Phil Husbands (Orientador de Doutorado, 2013)","Álisson De Oliveira Alves (Orientando de Mestrado 2019); Ana Cecília Sá Fernandes (Orientando de Mestrado 2019 Co); André Luiz De Lucena Moreira (Orientando de Mestrado 2021 Co); Brieuc Sauzeat (Orientando de Mestrado 2020 Co); Camila Sardeto Deolindo (Orientando de Mestrado 2015); Caroline Stephanie (Orientando de Mestrado 2017); Cecile Riquart (Orientando de Mestrado 2016 Co); Daria De Tinguy (Orientando de Mestrado 2020 Co); Eduardo Bacelar Jacobi (Orientando de Mestrado 2018); Eric Gabriel Oliveira Rodrigues (Orientando de Mestrado 2019 Co); Guilherme Fernandes De Araújo (Orientando de Doutorado 2021 Co); Ilyasse Fakhreddine (Orientando de Mestrado 2021 Co); Janany Kamalanadhan (Orientando de Mestrado 2022 Co); Jessica Winne (Orientando de Mestrado 2016 Co); Jéssica Winne Rodrigues De Freitas (Orientando de Mestrado 2016 Co); Jhielson Pimentel (Orientando de Doutorado 2023 Co); Juliana Avila De Souza (Orientando de Mestrado 2018 Co); Kelyson Nunes Dos Santos (Orientando de Mestrado 2016 Co); Lilian Fuhrmann Urbini (Orientando de Mestrado 2017 Co); Marcela De Angelis Vigas Pereira (Orientando de Mestrado 2018); Marcelo Ramos Romano (Orientando de Mestrado 2020 Co); Oscar Miranda (Orientando de Mestrado 2016 Co); Ramon Evangelista Dos Anjos Paiva (Orientando de Doutorado 2024 Co); Weslley Eunathan Fernandes Lima (Orientando de Mestrado 2018); Willian Barela Costa (Orientando de Mestrado 2019)"
"Adelson Dias De Araújo Júnior","Ciências Exatas e da Terra / Ciência Da Computação","University of Twente, UT, Holanda. & UFRN","IMD","Leonardo César Teonácio Bezerra (Orientador de Mestrado, 2019 Co); Nelio Alessandro Azevedo Cacho (Orientador de Mestrado, 2019); Pantelis M Papadopoulos (Orientador de Doutorado, 2024 Co); Ton De Jong Susan Mckenney (Orientador de Doutorado, 2024)",""
"Adja Ferreira De Andrade","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Lucia Maria Martins Giraffa (Orientador de Doutorado, 2003); Paul Brna Uk Rosa Vicari Br (Orientador de Doutorado, 2002); Raul Sidnei Wazlawick (Orientador de Mestrado, 1999); Rosa Maria Vicari (Orientador de Doutorado, 2003)","Aline Peroba Pitombeira (Orientando de Mestrado 2019); Alyana Canindé Macêdo De Barros (Orientando de Mestrado 2020); Camila Augusta Desiderio (Orientando de Mestrado 2019); Ciro Dias (Orientando de Mestrado 2023); David Harlyson Poroca Da Silva (Orientando de Mestrado 2019); Gisllayne Cristina De Araujo Brandao (Orientando de Mestrado 2021); Juliana Lacerda Da Silva Oliveira (Orientando de Mestrado 2020); Julio Cesar Da Silva Dantas (Orientando de Mestrado 2023); Maria Da Conceicao Lima Viera (Orientando de Mestrado 2020); Perla Carneiro Da Silva (Orientando de Mestrado 2019)"
"Adrião Duarte Dória Neto","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","IMD","Adaildo Gomes D Assuncao (Orientador de Mestrado, 1982); Attilio Jose Giarola (Orientador de Mestrado, 1982); Henri Baudrand (Orientador de Doutorado, 1989)","Aarão Lyra (Orientando de Doutorado 2003); Adriana Rosas De Souza (Orientando de Mestrado 1998); Adriana Takahashi (Orientando de Doutorado 2012); Adriano De Andrade Bresolin (Orientando de Doutorado 2008); Agostinho De Medeiros Brito Junior (Orientando de Doutorado 2005); Alan Paulo Oliveira Da Silva (Orientando de Mestrado 2010 Co); Aldayr Dantas De Araújo Júnior (Orientando de Mestrado 2010); Alessandra Mendes Pacheco Soares (Orientando de Mestrado 2002 Co); Allan David Garcia De Araújo (Orientando de Mestrado 2010); Allan De Medeiros Martins (Orientando de Mestrado 2001, Orientando de Doutorado 2005); Amanda Gondim De Oliveira (Orientando de Mestrado 2009 Co, Orientando de Doutorado 2018); Ana Claudia M L Albuquerque (Orientando de Mestrado 2005 Co); Ana Claudia Medeiros Lins De Albuquerque Lima (Orientando de Mestrado 2005 Co); Ana Maria Guimarães Guerreiro (Orientando de Mestrado 1999); Anderson Costa Dos Santos (Orientando de Doutorado 2019); Andrezza Cristina Da Silva Barros Souza (Orientando de Mestrado 2001); Angelo Leite Medeiros De Goes (Orientando de Mestrado 2025); Antônio De Pádua De Miranda Henriques (Orientando de Doutorado 2008); Arthur Diniz Flor Torquato Fernandes (Orientando de Mestrado 2023); Bruno Mattos Silva Wanderley (Orientando de Doutorado 2019); Bruno Vicente Alves De Lima (Orientando de Doutorado 2021); Bruno Xavier Da Costa (Orientando de Mestrado 2011); Carlos Alberto Da Silva (Orientando de Mestrado 2002); Carlos Alberto De Albuquerque Silva (Orientando de Mestrado 2010, Orientando de Doutorado 2015); Carlos Alberto De Araújo Padilha (Orientando de Mestrado 2013, Orientando de Doutorado 2017 Co); Claudilene Gomes Da Costa (Orientando de Doutorado 2012 Co); Daniel Lopes Martins (Orientando de Mestrado 2011, Orientando de Doutorado 2017); Daniel Sabino Amorim De Araújo (Orientando de Doutorado 2013); Danilo Curvelo De Souza (Orientando de Mestrado 2012, Orientando de Doutorado 2017); Danilo Lima De Souza (Orientando de Mestrado 2006); Danniel Cavalcante Lopes (Orientando de Doutorado 2009 Co); David Ricardo Do Vale Pereira (Orientando de Mestrado 2006); Débora Virgínia Da Costa E Lima (Orientando de Mestrado 2022); Diego De Miranda Gomes (Orientando de Mestrado 2006); Diego Rodrigo Cabral Silva (Orientando de Mestrado 2005, Orientando de Doutorado 2008 Co); Eduardo Henrique Silveira De Araújo (Orientando de Doutorado 2013 Co); Elionai Moura Cordeiro (Orientando de Mestrado 2018); Eloi Cagni Junior (Orientando de Mestrado 2007); Fabiana Tristão De Santana (Orientando de Doutorado 2011 Co); Fabiano Medeiros De Azevedo (Orientando de Mestrado 2009 Co); Fabio Adriano Lisboa (Orientando de Mestrado 2000); Fabio Adriano Lisboa Gomes (Orientando de Mestrado 2000); Francisca De Fátima Do Nascimento Silva (Orientando de Mestrado 2013, Orientando de Doutorado 2017); Francisco Chagas De Lima Júnior (Orientando de Doutorado 2009 Co); Francisco José Targino Vidal (Orientando de Doutorado 2013); Gláucia Regina Medeiros Azambuja Sizilio (Orientando de Doutorado 2012); Gustavo Fontoura De Souza (Orientando de Mestrado 2005 Co); Heitor Medeiros Florencio (Orientando de Mestrado 2015, Orientando de Doutorado 2019); Heliana Bezerra Soares (Orientando de Mestrado 2001, Orientando de Doutorado 2008); Helton Maia Peixoto (Orientando de Mestrado 2010 Co)"
"Anderson Paiva Cruz","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Benjamín René Callejas Bedregal (Orientador de Mestrado, 2008 Co); Benjamín René Callejas Bedregal (Orientador de Doutorado, 2012 Co); Regivan Hugo Nunes Santiago (Orientador de Mestrado, 2008); Regivan Hugo Nunes Santiago (Orientador de Doutorado, 2012)","Ramon Santos Malaquias (Orientando de Mestrado 2017)"
"André Luiz Da Silva Solino","Doutorado em Sistemas e Computação.","Universidade Federal do Rio Grande do Norte, UFRN, Brasil.","IMD","Everton Ranielly De Sousa Cavalcante (Orientador de Doutorado, 2023 Co); Silvia Regina Vergilio (Orientador de Mestrado, 2008); Thais Vasconcelos Batista (Orientador de Doutorado, 2023)",""
"Anna Giselle Camara Dantas Ribeiro","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","IMD","Ana Maria Guimarães Guerreiro (Orientador de Doutorado, 2014); André Laurindo Maitelli (Orientador de Mestrado, 2011); Luiz Marcos Garcia Goncalves (Supervisor de Pós-Doutorado, 2017)","Edilson Lobo De Medeiros Junior (Orientando de Mestrado 2021); Erick Odlanier Do Nascimento Xavier Cortez (Orientando de Mestrado 2020); Felipe Leite Guedes (Orientando de Mestrado 2018 Co); Marcos Oliveira (Orientando de Mestrado 2019); Mike Job Santos Pereira Da Silva (Orientando de Mestrado 2024); Ricardo Felipe Ferreira (Orientando de Mestrado 2021)"
"Apuena Vieira Gomes","Ciências Humanas / Educação","Universidade Federal Do Rio Grande Do Norte","IMD","Alex Sandro Gomes (Orientador de Doutorado, 2004 Co); Décio Fonseca (Orientador de Doutorado, 2004); Marcia De Paiva Bastos Gottgtroy (Orientador de Mestrado, 2000)","Barbara Fernandes Da Silva De Souza (Orientando de Mestrado 2018); Bianca Josefa Ribeiro De Oliveira (Orientando de Mestrado 2022); César Augusto Barreto Da Silva (Orientando de Mestrado 2012 Co); Clarissa Bezerra De Melo Pereira Nunes (Orientando de Mestrado 2021); Edith Cristina Da Nobrega (Orientando de Mestrado 2018); Everson Mizael Cortez Silva (Orientando de Mestrado 2017); Gelly Viana Mota (Orientando de Mestrado 2022); Gildasio Da Costa Teixeira (Orientando de Mestrado 2021); Igo Joventino Dantas Diniz (Orientando de Mestrado 2020); Iris Linhares Pimenta (Orientando de Mestrado 2012 Co); Iris Linhares Pimenta Gurgel (Orientando de Mestrado 2012 Co); Kleber Tavares Fernandes (Orientando de Mestrado 2014 Co); Leilanne Kelly Borges De Alguquerque Santos (Orientando de Mestrado 2017); Luana Talita Mateus De Souza (Orientando de Doutorado 2024 Co); Luciana De Sousa Azevedo (Orientando de Mestrado 2017); Makio Patricio Cassemiro De Souza (Orientando de Mestrado 2022); Maressa Maria Lemos De Sousa (Orientando de Mestrado 2023); Maria Gonçalves De Aquino (Orientando de Mestrado 2023); Micheli Gomes Da Silva (Orientando de Mestrado 2024); Raquel De Lima Silva Cavalcante (Orientando de Mestrado 2023); Rosângela Saraiva Carvalho (Orientando de Mestrado 2010 Co); Ynessa Beatriz Dantas De Farias (Orientando de Mestrado 2020); Ynessa Beatriz Dantas De Farias Santos (Orientando de Mestrado 2018)"
"Athanasios Tsouanas","Ciências Exatas e da Terra / Matemática","École Normale Supérieure de Lyon, ENS/Lyon, França.","IMD","Elaine Gouvêa Pimentel (Supervisor de Pós-Doutorado, 2015); Olivier Laurent (Orientador de Doutorado, 2014); Panos Rondogiannis (Orientador de Mestrado, 2010)",""
"César Rennó Costa","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","IMD","Adriano Bretanha Lopes Tort (Supervisor de Pós-Doutorado, 2016); Fernando José Von Zuben (Orientador de Mestrado, 2007); John Lisman (Orientador de Doutorado, 2012 Co); Jônatas Manzolli (Orientador de Mestrado, 2007 Co); Paul Verschure (Orientador de Doutorado, 2012)","Alyson Matheus De Carvalho Souza (Orientando de Doutorado 2022); Ana Cláudia Costa Da Silva (Orientando de Doutorado 2021 Co); André Luiz De Lucena Moreira (Orientando de Mestrado 2021); Daniel Garcia Teixeira (Orientando de Mestrado 2018); Dhiego Souto Andrade (Orientando de Doutorado 2023); Florentin Marty (Orientando de Mestrado 2012 Co); Paulo Henrique Lopes Carlos (Orientando de Mestrado 2021 Co)"
"Charles Andryê Galvão Madeira","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Geber Lisboa Ramalho (Orientador de Mestrado, 2001); Jean Gabriel Ganascia Vincent Corruble (Orientador de Doutorado, 2007)","Alexandre Ribeiro Da Silva (Orientando de Mestrado 2019 Co); Andre Luiz De Souza Brito (Orientando de Mestrado 2017); Andre Parducci Soares De Lima (Orientando de Mestrado 2024); Crisiany Alves De Sousa (Orientando de Mestrado 2021); Eduardo Henrique Rocha Do Nascimento (Orientando de Mestrado 2019 Co); Erick Bergamini Da Silva Lima (Orientando de Mestrado 2018); Eridiana Alves Da Silva Bezerra (Orientando de Mestrado 2023); Fabio Sampaio Dos Santos Camara (Orientando de Mestrado 2019); Fabio Thierry Domingues Da Silva (Orientando de Mestrado 2024); Fellipe Silva Câmara (Orientando de Mestrado 2023); Gabriel Caldas Barros E Sa (Orientando de Mestrado 2024); Giselia Maria Dos Santos Ferreira (Orientando de Mestrado 2020); Glice Rocha Pires (Orientando de Mestrado 2022); Gustavo Lima Do Nascimento (Orientando de Mestrado 2022); Jaime Bruno Cirne De Oliveira (Orientando de Mestrado 2019); Jeanne Da Silva Barbosa Bulcao (Orientando de Mestrado 2021); Joeldson Costa Damasceno (Orientando de Mestrado 2024); Jorge Felliphe Rodrigues Barbosa (Orientando de Mestrado 2018); Josiel Moreira Da Silva (Orientando de Mestrado 2022); Juliana Teixeira Da Câmara Reis (Orientando de Doutorado 2021 Co); Lucineide Cruz Araujo (Orientando de Mestrado 2020); Luiz De Franca Afonso Ferreira Filho (Orientando de Mestrado 2022); Marco Antonio Silva E Araujo (Orientando de Mestrado 2020); Neide Aparecida Alves De Medeiros (Orientando de Mestrado 2020); Samanta Ferreira Aires (Orientando de Mestrado 2020); Tathiany Deyse Fernandes Rocha (Orientando de Mestrado 2023)"
"Daniel Sabino Amorim De Araújo","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Adrião Duarte Dória Neto (Orientador de Doutorado, 2013); Allan De Medeiros Martins (Orientador de Doutorado, 2013 Co); Marcilio Carlos Pereira De Souto (Orientador de Mestrado, 2008)","Antonio Fernandes Da Silva Filho (Orientando de Mestrado 2016); Bruno Mattos Silva Wanderley (Orientando de Doutorado 2019 Co); Elionai Moura Cordeiro (Orientando de Mestrado 2018 Co); Gabriel Araujo De Souza (Orientando de Mestrado 2023 Co); Iaslan Do Nascimento Paulo Da Silva (Orientando de Mestrado 2020 Co); Igor Wescley Silva De Freitas (Orientando de Mestrado 2019); Italo Oliveira Fernandes (Orientando de Mestrado 2024); Iuri Cabral Paiva (Orientando de Mestrado 2023); Jhoseph Kelvin Lopes De Jesus (Orientando de Mestrado 2018 Co); Jhoseph Kelvin Lopes De Jesus (Orientando de Doutorado 2023 Co); Ormazabal Lima Do Nascimento (Orientando de Mestrado 2023); Patrick Cesar Alves Terrematte (Orientando de Doutorado 2022 Co); Ramiro De Vasconcelos Dos Santos Júnior (Orientando de Doutorado 2024 Co); Rodrigo Lafayette Da Silva (Orientando de Mestrado 2023 Co)"
"Eiji Adachi Medeiros Barbosa","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Alessandro Fabricio Garcia (Orientador de Mestrado, 2012); Alessandro Fabricio Garcia (Orientador de Doutorado, 2015)","Andre Santiago Da Fonseca Silva (Orientando de Mestrado 2020); Aryclenio Xavier Barros (Orientando de Mestrado 2023); Deyvisson Carlos Borges De Melo (Orientando de Mestrado 2020); Fábio Arruda Magalhães (Orientando de Mestrado 2022); Iuri Guerra De Freitas Pereira (Orientando de Mestrado 2019); Lucas Novais Assuncao (Orientando de Mestrado 2023); Renieri Rayron Da Silva Correia (Orientando de Mestrado 2018); Wallinson De Lima Silva (Orientando de Mestrado 2022); Willie Lawrence Da Paz Silva (Orientando de Mestrado 2023)"
"Elias Jacob De Menezes Neto","Ciências Exatas e da Terra / Probabilidade E Estatística","Universidade Federal Do Rio Grande Do Norte","IMD","Daniela Mesquita Leutchuk De Cademartori (Orientador de Mestrado, 2012); Jose Luis Bolzan De Morais (Orientador de Doutorado, 2016)","Marilia Gabriela Silva Lima (Orientando de Mestrado 2023); Murillo Cesar De Mello Brandão Filho (Orientando de Mestrado 2021 Co); Ramon Isaac Saldanha De Azevedo E Silva (Orientando de Mestrado 2023)"
"Gustavo Girão Barreto Da Silva","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Flávio Rech Wagner (Orientador de Mestrado, 2009); Flávio Rech Wagner (Orientador de Doutorado, 2014)","Alexandro Lima Damasceno (Orientando de Mestrado 2016 Co); Ari Barreto De Oliveira (Orientando de Mestrado 2018); Honoré Vicente Cesário (Orientando de Mestrado 2022 Co); Laysson Oliveira Luz (Orientando de Mestrado 2016 Co); Ramon Santos Nepomuceno (Orientando de Mestrado 2016 Co)"
"Iris Linhares Pimenta Gurgel","Ciências Sociais Aplicadas / Administração","Universidade Federal Do Rio Grande Do Norte","IMD","Anatália Saraiva Martins Ramos (Orientador de Mestrado, 2012); Anatália Saraiva Martins Ramos (Orientador de Doutorado, 2017); Apuena Vieira Gomes (Orientador de Mestrado, 2012 Co)",""
"Ismenia Blavatsky De Magalhaes","Ciências Exatas e da Terra / Probabilidade E Estatística","Universidade Federal Do Rio Grande Do Norte","IMD","Enrico Antonio Colosimo (Orientador de Mestrado, 2002); Fabio Gagliardi Cozman (Orientador de Doutorado, 2007)","Clarissa Bezerra De Melo Pereira Nunes (Orientando de Mestrado 2020 Co); Clesia Jordania Nunes Da Costa (Orientando de Mestrado 2023); Daniele Santos Machado (Orientando de Mestrado 2008 Co); Deise De Andrade Azevedo (Orientando de Mestrado 2008 Co); Gelly Viana Mota (Orientando de Mestrado 2022 Co); Jessica Agna C De Andrade Silva (Orientando de Mestrado 2023); Marcos Rangel De Lima (Orientando de Mestrado 2010 Co); Natália Cristina Corrêa Castelo Branco (Orientando de Mestrado 2009 Co); Rejane Leite De Souza Soares (Orientando de Mestrado 2009)"
